metadata,timesteps,grid_buying_price_units,grid_buying_price_values,gen_PV_units,gen_PV_values,e_bat_capacity_units,e_bat_capacity_values,e_bat_SOC_ini,e_bat_SOC_min,e_bat_SOC_max,e_bat_charging_power_units,e_bat_charging_power_values,electrolyzer_max_power_units,electrolyzer_max_power_values,electrolyzer_performance_units,electrolyzer_performance_values,H2_demand_units,H2_demand_values,H2_storage_SOC_capacity_units,H2_storage_SOC_capacity_values,H2_storage_SOC_ini,H2_storage_SOC_min,H2_storage_SOC_max,labels,prediction_label_min2,prediction_label_max2,estimated_labels,min_energy_MINLP,is_valid_MINLP,min_energy_uniform_annealer,is_valid_uniform_annealer,min_energy,is_valid
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[166.68638250280168, 154.83476839874865]",MW,"[20.195799196698385, 9.19328820639523]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1096158500.0,855187700.0,"[1096158500.0, 500000000, 855187700.0, 100000000]",,,-3182221499.682223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[145.29165837367702, 149.9466981653645]",MW,"[19.32037063231254, 8.31833924753155]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094624900.0,854264500.0,"[1094624900.0, 500000000, 854264500.0, 100000000]",,,-3182221522.4555554,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[151.72599881515578, 137.28697626478413]",MW,"[12.823794732383856, 12.877003977889581]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.6000000000000014, 3.6000000000000014]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1092808400.0,851153800.0,"[1092808400.0, 500000000, 851153800.0, 100000000]",,,-4458310122.62311,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[173.34420821347098, 132.64798915843278]",MW,"[15.173212735531177, 10.066922833497415]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[4.400000000000002, 4.400000000000002]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1040000000.0, 100000000.0, 800000000.0]",1074568400.0,828938560.0,"[1074568400.0, 500000000, 828938560.0, 100000000]",,,-6506309943.791114,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[147.42434261084207, 139.2175178488109]",MW,"[17.696012051282356, 7.850878068712127]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1094297900.0,854560260.0,"[1094297900.0, 500000000, 854560260.0, 100000000]",,,-3182221572.528889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[141.68362178344375, 124.81739503636707]",MW,"[19.942860299615475, 9.222197600034445]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.8000000000000007, 2.8000000000000007]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095033900.0,855626200.0,"[1095033900.0, 500000000, 855626200.0, 100000000]",,,-2819910412.1191106,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[176.26750251618708, 131.66507402822856]",MW,"[17.225262825210628, 12.398509749108113]",MWh,"[5.0, 5.0]",0.7,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1094169600.0,855416400.0,"[1094169600.0, 500000000, 855416400.0, 100000000]",,,-3182221607.762223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[179.88417254412124, 138.66508582994229]",MW,"[18.31713081359192, 7.740205907338246]",MWh,"[5.0, 5.0]",0.6,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1095939700.0,855803100.0,"[1095939700.0, 500000000, 855803100.0, 100000000]",,,-3688888241.762223,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[171.76308528129792, 145.12407394550195]",MW,"[16.285826717207406, 10.86656649328123]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[2.4000000000000004, 2.4000000000000004]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1080000000.0, 100000000.0, 840000000.0]",1094888600.0,853793000.0,"[1094888600.0, 500000000, 853793000.0, 100000000]",,,-2154310414.53511,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[161.1108169617305, 105.95798300980219]",MW,"[19.44757406007044, 12.083277991548265]",MWh,"[5.0, 5.0]",0.7999999999999999,0.1,0.9,MW,"[3.5, 3.5]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1092817700.0,854345900.0,"[1092817700.0, 500000000, 854345900.0, 100000000]",,,-2728888147.168889,False,,
"{'date': '23/08/2023', 'w1': 'All units are in hour time format, to reduce the timestep granularity, the scale should be changed'}",2,€/Mwh,"[135.52111884141982, 143.48804449795924]",MW,"[13.837286908198879, 8.358269302402062]",MWh,"[5.0, 5.0]",0.5,0.1,0.9,MW,"[3.200000000000001, 3.200000000000001]",MW,"[50, 50]",tH2/MWh,"[0.017761989342806397, 0.017761989342806397]",ton de H2,"[30.0, 30.0]",tons H2,"[20.0, 20.0]",0.5,0.1,0.9,"[500000000.0, 1100000000.0, 100000000.0, 860000000.0]",1093747100.0,852361400.0,"[1093747100.0, 500000000, 852361400.0, 100000000]",,,-3587910192.7751107,False,,
